,# Features,1.Model,2.Vector,3.Train Acc.,4.Train std.,5.Test Score
2,2785,NB,Freq-2,0.722089,0.014371,0.725862
23,16847,SGD,TFIDF-6,0.721546,0.023935,0.705172
0,2905,NB,Freq-1,0.720362,0.016211,0.732759
17,11819,SGD,TFIDF-3,0.714644,0.023743,0.7
19,16713,SGD,TFIDF-4,0.711185,0.021285,0.706034
21,7417,SGD,TFIDF-5,0.704266,0.026029,0.693103
11,16847,SGD,Freq-6,0.70082,0.027605,0.700862
13,2905,SGD,TFIDF-1,0.69622,0.018576,0.681034
9,7417,SGD,Freq-5,0.696219,0.034046,0.668966
7,16713,SGD,Freq-4,0.695078,0.031401,0.668103
